0 16 0.601562 2.490348
1 9 0.567901 1.196747
2 10 0.660000 1.196747
3 6 0.444444 0.552345
4 3 0.000000 0.095783
5 4 0.000000 0.574696
6 4 0.000000 0.574696
7 4 0.375000 -0.092057
8 4 0.625000 -0.506471
10 3 0.000000 0.095783
11 1 0.000000 -0.862044
12 2 0.500000 -0.862044
13 5 0.560000 -0.092057
17 2 0.500000 -0.862044
19 3 0.666667 -1.380862
21 2 0.500000 -0.862044
31 6 0.611111 0.894427
30 3 0.444444 -0.506471
9 2 0.500000 -1.380862
27 4 0.625000 -0.447214
28 3 0.666667 -1.788854
32 12 0.402778 1.930921
16 2 0.000000 -0.383131
33 17 0.567474 2.279120
14 2 0.000000 -0.506471
15 2 0.000000 -0.506471
18 2 0.000000 -0.506471
20 2 0.000000 -0.506471
22 2 0.000000 -0.506471
23 5 0.480000 -0.447214
25 3 0.000000 0.894427
29 4 0.375000 -0.158272
24 3 0.000000 0.894427
26 2 0.000000 -0.506471
