0 16 0.539062 2.135708
1 9 0.197531 1.401558
2 10 0.620000 0.300334
3 6 0.000000 0.667409
4 3 0.444444 -0.816497
5 4 0.375000 1.224745
6 4 0.375000 1.224745
7 4 0.000000 -0.066741
8 4 0.500000 -0.439057
10 3 0.444444 -0.816497
11 1 0.000000 -1.167965
12 2 0.000000 -0.800890
13 5 0.320000 -0.066741
17 2 0.000000 -0.800890
19 3 0.444444 -0.800890
21 2 0.000000 -0.800890
31 6 0.611111 0.894427
30 3 0.444444 -0.439057
9 2 0.500000 -0.768350
27 4 0.625000 -0.447214
28 3 0.666667 -1.788854
32 12 0.402778 1.865992
16 2 0.000000 -0.816497
33 17 0.512111 2.524578
14 2 0.000000 -0.439057
15 2 0.000000 -0.439057
18 2 0.000000 -0.439057
20 2 0.000000 -0.439057
22 2 0.000000 -0.439057
23 5 0.480000 -0.447214
25 3 0.000000 0.894427
29 4 0.375000 -0.109764
24 3 0.000000 0.894427
26 2 0.000000 -0.439057
